,Date,number shares,open,prediction,status,balance,profit/loss,Actual Status
0,2018-01-02,102.0,196.100006,188.2447507,0.0,20002.2,0.0,Buy
1,2018-01-03,102.0,202.050003,189.5625821,1.0,20609.100306,606.9003059999995,Sell
2,2018-01-04,102.0,206.199997,188.224194,3.0,21032.399694,1030.199693999999,Pass
3,2018-01-05,102.0,207.25,189.1008674,3.0,21139.5,1137.2999999999993,Pass
4,2018-01-08,102.0,210.020004,190.086088,3.0,21422.040408,1419.840408,Pass
5,2018-01-09,102.0,212.110001,189.9516036,3.0,21635.220102,1633.0201019999986,Pass
6,2018-01-10,102.0,207.570007,190.8601995,3.0,21172.140714,1169.9407140000003,Pass
7,2018-01-11,102.0,214.289993,192.1530686,3.0,21857.579286,1855.3792859999994,Pass
8,2018-01-12,102.0,217.179993,193.9534524,3.0,22152.359286,2150.1592859999982,Pass
9,2018-01-16,102.0,224.240005,195.4844003,3.0,22872.48051,2870.2805100000005,Pass
10,2018-01-17,102.0,221.0,196.3744435,3.0,22542.0,2539.7999999999993,Pass
11,2018-01-18,102.0,220.339996,197.8697885,3.0,22474.679592,2472.4795919999997,Pass
12,2018-01-19,102.0,222.75,198.0099678,3.0,22720.5,2718.2999999999993,Pass
13,2018-01-22,102.0,222.0,199.5129366,3.0,22644.0,2641.7999999999993,Pass
14,2018-01-23,102.0,255.050003,201.9308257,3.0,26015.100306,6012.900306,Pass
15,2018-01-24,102.0,250.880005,203.484353,3.0,25589.76051,5587.560509999999,Pass
16,2018-01-25,102.0,263.0,206.8573578,3.0,26826.0,6823.799999999999,Pass
17,2018-01-26,102.0,271.48999,210.2574407,3.0,27691.978979999996,7689.7789799999955,Pass
18,2018-01-29,102.0,274.200012,212.2314374,3.0,27968.401224,7966.201224,Pass
19,2018-01-30,102.0,277.0,214.5389396,3.0,28254.0,8251.8,Pass
20,2018-01-31,102.0,281.940002,219.352669,3.0,28757.880204,8755.680204,Pass
21,2018-02-01,102.0,266.410004,222.5364746,3.0,27173.820408000003,7171.6204080000025,Pass
22,2018-02-02,102.0,263.0,224.943229,3.0,26826.0,6823.799999999999,Pass
23,2018-02-05,102.0,262.0,229.3364333,3.0,26724.0,6721.799999999999,Pass
24,2018-02-06,102.0,247.699997,231.2160629,3.0,25265.399694,5263.199693999999,Pass
25,2018-02-07,102.0,266.579987,235.1364079,3.0,27191.158674000002,7188.958674000001,Pass
